epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,863.228,0.57326,0.55296,0.68564,0.8821,0.99642,1,0.995,0.85226,0.99642,1,0.995,0.84396,0.60657,0.6212,0.87755,1.00663,0.0007724,0.0007724,0.0007724
33,897.117,0.53986,0.46711,0.64609,0.88162,0.99608,1,0.995,0.86332,0.99608,1,0.995,0.86402,0.5858,0.61751,0.85052,0.9955,0.0007328,0.0007328,0.0007328
34,931.222,0.56459,0.42213,0.68532,0.87394,0.99649,1,0.995,0.86098,0.99649,1,0.995,0.8784,0.57541,0.54383,0.79708,0.99172,0.0006932,0.0006932,0.0006932
35,962.425,0.62594,0.60329,0.65305,0.88623,0.99654,1,0.995,0.85241,0.99654,1,0.995,0.88582,0.59797,0.52684,0.75781,0.99525,0.0006536,0.0006536,0.0006536
36,991.87,0.64454,0.52709,0.77081,0.91689,0.99663,1,0.995,0.89302,0.99663,1,0.995,0.85249,0.51902,0.60218,0.70167,0.96857,0.000614,0.000614,0.000614
37,1021.95,0.55189,0.44208,0.67749,0.89058,0.99644,1,0.995,0.88906,0.99644,1,0.995,0.8781,0.51786,0.5443,0.68278,0.97017,0.0005744,0.0005744,0.0005744
38,1052.56,0.58039,0.79774,0.68188,0.89584,0.99642,1,0.995,0.8902,0.99642,1,0.995,0.8631,0.51136,0.48807,0.72581,0.96403,0.0005348,0.0005348,0.0005348
39,1082.82,0.53749,0.54993,0.62854,0.88432,0.9965,1,0.995,0.87055,0.9965,1,0.995,0.88862,0.52576,0.51617,0.7848,0.96644,0.0004952,0.0004952,0.0004952
40,1112.69,0.60693,0.5078,0.66459,0.87795,0.99618,1,0.995,0.8932,0.99618,1,0.995,0.88609,0.51439,0.53894,0.92984,0.95821,0.0004556,0.0004556,0.0004556
41,1142.25,0.47318,0.42418,0.8214,0.85546,0.9964,1,0.995,0.89518,0.9964,1,0.995,0.88918,0.49319,0.51012,0.96083,0.95512,0.000416,0.000416,0.000416
42,1170.58,0.52102,0.40829,0.75569,0.8262,0.99632,1,0.995,0.88706,0.99632,1,0.995,0.87222,0.49471,0.51108,0.95995,0.96081,0.0003764,0.0003764,0.0003764
43,1198.74,0.42256,0.45736,0.73834,0.81648,0.99585,1,0.995,0.88321,0.99585,1,0.995,0.87373,0.51009,0.5162,0.94824,0.96292,0.0003368,0.0003368,0.0003368
44,1227.23,0.45599,0.41102,0.7832,0.81093,0.99605,1,0.995,0.89263,0.99605,1,0.995,0.87549,0.51263,0.48876,0.81509,0.95459,0.0002972,0.0002972,0.0002972
45,1255.75,0.45376,0.41655,0.7738,0.86649,0.99627,1,0.995,0.89729,0.99627,1,0.995,0.88915,0.4805,0.45412,0.72966,0.94376,0.0002576,0.0002576,0.0002576
46,1284.14,0.49164,0.39854,0.76991,0.84107,0.99644,1,0.995,0.9147,0.99644,1,0.995,0.89807,0.4509,0.45024,0.69522,0.93518,0.000218,0.000218,0.000218
47,1312.44,0.40487,0.41976,0.71654,0.80739,0.99648,1,0.995,0.90079,0.99648,1,0.995,0.88388,0.43624,0.45843,0.66959,0.93076,0.0001784,0.0001784,0.0001784
48,1342.01,0.40709,0.42256,0.69871,0.84002,0.99674,1,0.995,0.90997,0.99674,1,0.995,0.89546,0.43103,0.46672,0.63687,0.92907,0.0001388,0.0001388,0.0001388
49,1370.47,0.40737,0.36681,0.6965,0.85466,0.99681,1,0.995,0.90997,0.99681,1,0.995,0.88821,0.4367,0.46602,0.63093,0.93058,9.92e-05,9.92e-05,9.92e-05
50,1393.96,0.37432,0.41088,0.66414,0.80093,0.99686,1,0.995,0.90983,0.99686,1,0.995,0.87547,0.43833,0.4599,0.62569,0.93016,5.96e-05,5.96e-05,5.96e-05
